id,Nombre,Biblioteca de figuras,ID de página,Contenido por,Grupo,Origen de línea,Destino de la línea,Flecha de origen,Flecha de destino,Área de texto 1,Área de texto 2,Área de texto 3,Área de texto 4,Área de texto 5,Área de texto 6,Área de texto 7,Área de texto 8,Área de texto 9,Área de texto 10,Área de texto 11,Área de texto 12,Área de texto 13,Área de texto 14,Área de texto 15,Área de texto 16,Área de texto 17,Área de texto 18,Área de texto 19,Área de texto 20,Área de texto 21,Área de texto 22,Área de texto 23,Área de texto 24,Área de texto 25,Área de texto 26,Área de texto 27,Área de texto 28,Área de texto 29,Área de texto 30,Área de texto 31,Área de texto 32,Área de texto 33,Área de texto 34,Área de texto 35,Área de texto 36,Área de texto 37,Área de texto 38,Área de texto 39,Área de texto 40,Área de texto 41,Área de texto 42,Área de texto 43
20,Entidad,Relación entre entidades,1,,,,,,,Carreras,cveCarrera,Es generada por el nombre de la carrera y especialidad,"Cadena de caracteres de máxmo 4 caracteres,  Autoincrementable Llave primaria",carreraName,Se almacena el nombre de lla carrera,Cadena de caracteres de un máximo de 40 caracteres,carreraEsp,Se almacena la especialidad de la carrera,Cadena de caracteres alfanuméricos de un máximo de 40 caracteres,carreraDesc,se almacena la descripción de la carrera,"Cadena de caracteres alfanuméricos, con un tamaño máxmo de 200 caracteres",directorId,Se almacena el director de carrera,Entero Llave foránea de DirectoresCarrera,createDate,Se almacena la fecha de creación del registro,Fecha y hora,,,,,,,,,,,,,,,,,,,,,,,,
21,Entidad,Relación entre entidades,1,,,,,,,DirectoresCarrera,directorId,Se almacena el identificador del director de carrera,Entero Autoincrementable Llave primaria,cveTrabajador,Se almacena la clave del trabajador,Entero Llave foránea de Trabajadores,periodoInicio,Se almacena el periodo que inicia labores como Director de Carrera,Fecha,periodoFin,Se almacena el periodo que finaliza labores como Director de Carrera,Fecha,createDate,Se almacena la fecha de creación del registro,Fecha y hora,,,,,,,,,,,,,,,,,,,,,,,,,,,
22,Entidad,Relación entre entidades,1,,,,,,,ProgramaEducativo,carreraId,Se almacena la carrera a la que pertenece el programa educativo,Entero Llave foránea de Personas,programaName,Se almacena el nombre del programa educativo,Cadena de caracteres alfanumericos de un tamaño máximo de 30 caracteres,cvePrograma,"Se almacena la clave del programa educativo, se compone del nombre del programa y año de creación",Cadena de caracteres alfanuméricos con un tamaño máximo de 30 caracteres ,programaYear,Se almacena el año de creación del pograma de estudio,Entero[1900-2999],createDate,Se almacena la fecha de creación del registro,Fecha y hora,programaId,Se almacena el identificador del registro de cada programa educativo,Entero Autoincrementable Llave primaria,,,,,,,,,,,,,,,,,,,,,,,,
23,Entidad,Relación entre entidades,1,,,,,,,AreasConocimiento,areaconId,Se almacena el identificador del registro del area de conocimiento,Entero Autoincrementable Llave primaria,areaconName,Se almacena el nombre del área de conocimiento,Cadena de caracteres de un máximo de 30 caracteres,areaconDesc,Se almacena la descripción del área de adscripción,Cadena de caracteres alfanuméricos de un máximo de 200 caracteres,createDate,Se almacena la fecha de creación del registro,Fecha y hora,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
24,Entidad,Relación entre entidades,1,,,,,,,Tutores,tutorId,Se almacena el identificador del registro del area de conocimiento,Entero Autoincrementable Llave primaria,cveTrabajador,Se almacena la clave del maestro que fungirá como tutor de un grupo,Entero Llave foránea de Trabajadores,cveGrupo,Se almacena la clave del grupo del cual es asesor el docente,Entero Llave foránea de Grupos,createDate,Se almacena la fecha de creación del registro,Fecha y hora,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
25,Entidad,Relación entre entidades,1,,,,,,,Academias,academiaId,Se almacena el identificador del registro del area de la academia,Entero Autoincrementable Llave primaria,academiaName,Se almacena el nombre de la academia ,Cadena de caracteres de un máximo de 30 caracteres,academiaDesc,Se alacena la descripción de la academia,Cadena de caracteres alfanuméricos de un máximo de 200 caracteres,academiaDate,Se almacena la fecha de creación de la academia,Fecha y hora,presidente,Se almacena la clave del presidente de academia,Entero Llave foránea de Trabajadores,secretario,Se almacena la clave del secretario de academia,Entero Llave foránea de Trabajadores,createDate,Se almacena la fecha de creación del registro,Fecha y hora,,,,,,,,,,,,,,,,,,,,,
26,Entidad,Relación entre entidades,1,,,,,,,Materias,areaconId,Se almacena el código del área del conocimiento que pertenece la materia,Entero Llave foránea de AreasConocmiento,materiaName,Se almacena el nombre de la materia,Cadena de caracteres alfanuméricos de un tamaño de 35 caracteres como máximo,cuatrMateria,Se almacena el número de cuatrimestre al cual pertenece,Entero [1-12],programaId,Se almacena el programa al que pertenece la materia,Entero llave foránea de Programas educativos,hojaasId,Cada materia puede tener solo una hoja de asignatura,Entero llave foránea de Hoja Asignatura,cveMateria,"Se almacena la clave de cada materia, la cual se compone de las iniciales de la materia y las iniciales del programa al que pertenece a cada materia",Entero Autoincrementable Llave primaria,createDate,Se almacena la fecha de creación del registro,Fecha y hora,,,,,,,,,,,,,,,,,,,,,
27,Entidad,Relación entre entidades,1,,,,,,,HojaAsignatura,cuatrimestre,"Se almacena el cuatrimestre al que pertenece la materia, con letra",Cadena de caracteres alfanuméricos de máximo 15 caracteres,objetivoMat,Se almacena el objetivo de la materia,Cadena de caracteres alfanuméricos de máximo 15 caracteres,hrsTeoricas,Se almacena la cantidad de horas teóricas,Entero [1-99],hrsPractica,Se almacena la cantidad de horas prácticas,Entero[1-99],hrsSemana,Se almacena la cantidad de horas por semana que se imparte la materia,Entero [1-10],hojaasId,Se almacena el identificador para cada hoja de asignatura creada,Entero Autoincrementable Llave primaria,createDate,Se almacena la fecha de creación del registro,Fecha y hora,,,,,,,,,,,,,,,,,,,,,
28,Entidad,Relación entre entidades,1,,,,,,,Competencias,compId,Se almacena el identificador para cada competencia,Entero Autoincrementable Llave primaria,competenciaTipo,"Se almacena el tipo de competencia que es, si es profesional o genérica",Cadena de caracteres alfanuméricos de máximo 15 caracteres,competenciaDesc,Se almacena la descripción de la competencia generada,Cadena de caracteres alfanuméricos de máximo 500 caracteres,createDate,Se almacena la fecha de creación del registro,Fecha y hora,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
29,Entidad,Relación entre entidades,1,,,,,,,CompetenciasMaterias,coMatId,Se almacena el identificador para cada competencia,Entero Autoincrementable Llave primaria,cveMateria,Se almacena la clave de la materia a la que se le asigna cada competencia,Entero Llave foránea de Materias,compId,Se almacena la clave de la competencia,Entero Llave foránea de Competencias,createDate,Se almacena la fecha de creación del registro,Fecha y hora,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
30,Entidad,Relación entre entidades,1,,,,,,,Unidades,nombreUnidad,Se almacena el nombre de la unidad ,Cadena de caracteres alfanuméricos de máximo 10 caracteres,objUnidad,Se almacena el objetivo de la materia,Cadena de caracteres alfanuméricos de máximo 15 caracteres,hrsTeounidad,Se almacena la cantidad de horas teóricas,Entero [1-99],hrsPraUnidad,Se almacena la cantidad de horas prácticas,Entero[1-99],resultadoAp,Se almacena el resultado del aprendizaje,"Cadena de caracteres alfanuméricos, máximo 1000 caracteres",secuenciaAp,Se almacena la secuencia de aprencizaje de la unidad,Puede ser una cadena de texto o un archivo de texto,hojaasId,Se almacena la hoja de asignatura a la que pertenece la unidad,Entero Llave foránea de HojaAsignatura,unidadId,Se almacena el identificador para cada hoja de asignatura creada,Entero Autoincrementable Llave primaria,createDate,Se almacena la fecha de creación del registro,Fecha y hora,,,,,,,,,,,,,,,
31,Entidad,Relación entre entidades,1,,,,,,,InstrumentosEvaluacion,instId,Se almacena el identificador para cada instrumento de evaluación,Entero Autoincrementable Llave primaria,instrNombre,Se almacena el nombre del instrumento de evaluación,Cadena de caracteres alfanuméricos de máximo 30 caracteres,instDesc,Se almacena la descripción del instrumento de evauación,Cadena de caracteres alfanuméricos de máximo 200 caracteres,createDate,Se almacena la fecha de creación del registro,Fecha y hora,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
32,Entidad,Relación entre entidades,1,,,,,,,MetodosEnseñanza,metId,Se almacena el identificador para cada metodo de enseñanza,Entero Autoincrementable Llave primaria,metNombre,Se almacena el nombre del método de enseñanza,Cadena de caracteres alfanuméricos de máximo 30 caracteres,metDesc,Se almacena la descripción del método de nseñannza,Cadena de caracteres alfanuméricos de máximo 200 caracteres,createDate,Se almacena la fecha de creación del registro,Fecha y hora,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
33,Entidad,Relación entre entidades,1,,,,,,,MaterialDidactico,matdidId,Se almacena el identificador para cada material didáctico,Entero Autoincrementable Llave primaria,matdidNombre,Se almacena el nombre del materilal didáctico,Cadena de caracteres alfanuméricos de máximo 30 caracteres,matdidDesc,Se almacena la descripción del instrumento de evauación,Cadena de caracteres alfanuméricos de máximo 200 caracteres,createDate,Se almacena la fecha de creación del registro,Fecha y hora,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
34,Entidad,Relación entre entidades,1,,,,,,,InstrumentosUnidad,insuniId,Se almacena el identificador para cada instrumento de evaluación unidad,Entero Autoincrementable Llave primaria,insId,Se almacena  el instrumento para evaluacion de la unidad,Cadena de caracteres alfanuméricos de máximo 30 caracteres,unidadId,Se almacane la unidad a la que pertenece el instrumento de evaluación,Cadena de caracteres alfanuméricos de máximo 200 caracteres,createDate,Se almacena la fecha de creación del registro,Fecha y hora,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
35,Entidad,Relación entre entidades,1,,,,,,,MetodosUnidad,insuniId,Se almacena el identificador para cada instrumento de evaluación unidad,Entero Autoincrementable Llave primaria,metId,Se almacena  el metodo de enseñansa para la unidad,Cadena de caracteres alfanuméricos de máximo 30 caracteres,unidadId,Se almacane la unidad a la que pertenece el instrumento de evaluación,Cadena de caracteres alfanuméricos de máximo 200 caracteres,createDate,Se almacena la fecha de creación del registro,Fecha y hora,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
36,Entidad,Relación entre entidades,1,,,,,,,MaterialesUnidad,insuniId,Se almacena el identificador para cada instrumento de evaluación unidad,Entero Autoincrementable Llave primaria,insId,Se almacena  el material didáctico para la unidad,Cadena de caracteres alfanuméricos de máximo 30 caracteres,unidadId,Se almacane la unidad a la que pertenece el instrumento de evaluación,Cadena de caracteres alfanuméricos de máximo 200 caracteres,createDate,Se almacena la fecha de creación del registro,Fecha y hora,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
