id,Nombre,Biblioteca de figuras,ID de página,Contenido por,Grupo,Origen de línea,Destino de la línea,Flecha de origen,Flecha de destino,Área de texto 1,Área de texto 2,Área de texto 3,Área de texto 4,Área de texto 5,Área de texto 6,Área de texto 7,Área de texto 8,Área de texto 9,Área de texto 10,Área de texto 11,Área de texto 12,Área de texto 13,Área de texto 14,Área de texto 15,Área de texto 16,Área de texto 17,Área de texto 18,Área de texto 19,Área de texto 20,Área de texto 21,Área de texto 22,Área de texto 23,Área de texto 24,Área de texto 25
19,Entidad,Relación entre entidades,1,,,,,,,detalleHoras,horarioGrupoId,int FK(horarioGrupos),Se almacena la clave de la horario de Grupo al que pertenece,horasGrupoId,int PK A_I,Se almacena la llave primaria del registro horasGrupoId,horarioDia,"enum ('Lunes', 'Martes', 'Miércoles', 'Jueves', 'Viernes','Sábado')","Se almacena el día de la semana en que puede impartir clase, se incluye el sábado para cursos extraclase , prácticas y/o repentinas",horarioHoras,Text,Se almacena el listado de las horas de cada materia,materiaId,int FK (Materias),Se almacena la clave de la materia seleccionada propuesta,,,,,,,,,
20,Entidad,Relación entre entidades,1,,,,,,,asignaActiPTC,actividadId,int FK(ActividadesPTC),Se almacena la clave de la actividad asignada,actividadesPTCId,int PK A_I,Se almacena la clave de la actividad,fechaAsignacion,dateTime,Se almacena la fecha de asignación de la aactividad,actividadDia,"enum ('Lunes', 'Martes', 'Miércoles', 'Jueves', 'Viernes','Sábado')","Se almacena el día de la semana en que puede impartir clase, se incluye el sábado para cursos extraclase , prácticas y/o repentinas",horarioHoras,Text,Se almacena el listado de las horas de cada actividad,docenteActId,inf FK(Personas),Se almacena la clave del docente que se se asigna la materia,asignaActId,int FK(Personas),Se almacena la persona que creó el registro de la asignacion,,,
21,Entidad,Relación entre entidades,1,,,,,,,actividadesPTC,nombreActividad,varchar(20),Se almacena el nombre de la actividad,descripcionActividad,Text,Se almacena la descripción de la actividad asignada,horasMaximo,int,Se almacena el total máximo de horas ,fechaCreacion,dateTime,Se almacena la fecha en que se asignaron las horas,actividadId,int PK A_I,Se almacena la llave primaria del registro actividadId,,,,,,,,,
22,Entidad,Relación entre entidades,1,,,,,,,documentos,documentoId,int PK A_I,Se almacena la clave del documento que se genera,documentoNombre,varchar(100),"Se almacena el nombre del documento o formato, el cual se compone del tipo de documento, clave del usuario que lo generó, fecha de creación",documentoDesc,Text,"Se puede hacer un resumen del documento que se esta generando, si lo genera el sistema, automáticamente se llena esta campo",documentoURL,varchar(100),Se almacena la URL de la carpeta donde se almacena el documento,documentoTipo,varchar(50),"Se almacena el tipo de documento, puede ser un formato generado por el sistema",formatoId,int FK(varias tablas)  default NULL,"Se almacena la clave del formato, en caso de haber sido generado por el sistema, si no lo genera el sistema, esta campo será nulo",realizoId,int FK(personas),"Se almacena la clave de quien subió el documento, si fue por parte del sistema generado este campo será llenado por la persona que lo genere",fechaCreacion,dateTime,Se allmacena la fecha de creación del documento
23,Línea,,1,,50,,,None,None,,,,,,,,,,,,,,,,,,,,,,,,,
24,Línea,,1,,,10,4,CFN ERD One Arrow,CFN ERD One Arrow,,,,,,,,,,,,,,,,,,,,,,,,,
25,Línea,,1,,,5,10,CFN ERD One Arrow,CFN ERD One Arrow,,,,,,,,,,,,,,,,,,,,,,,,,
26,Línea,,1,,,13,10,CFN ERD One Arrow,CFN ERD One Arrow,,,,,,,,,,,,,,,,,,,,,,,,,
27,Línea,,1,,,7,10,CFN ERD One Arrow,CFN ERD One Arrow,,,,,,,,,,,,,,,,,,,,,,,,,
28,Línea,,1,,,13,5,CFN ERD One Or More Arrow,CFN ERD One Arrow,,,,,,,,,,,,,,,,,,,,,,,,,
